n_Recency,n_Frequency,n_MonetaryValue,n_Recency_log,n_Frequency_log,n_MonetaryValue_log
0.871313673,0.0,0.275443343,0.976814233,0.0,0.885101341
0.002680965,0.02306908,0.015368362,0.117001562,0.580293545,0.627983952
0.198391421,0.003823604,0.006400698,0.728781515,0.382920455,0.550036812
0.048257373,0.009176651,0.00625905,0.497014153,0.478424811,0.548046765
0.828418231,0.002039256,0.00118004,0.968319481,0.315928767,0.400175753
0.09383378,0.010706092,0.008930299,0.604889299,0.495395567,0.579663059
0.544235925,0.00038236,0.000304245,0.897685747,0.154584288,0.28221482
0.619302949,0.007264848,0.003838834,0.919396049,0.452775911,0.504602092
0.571045576,0.001529442,0.001626147,0.905763728,0.28601492,0.428477024
0.058981233,0.007392302,0.01002019,0.529263814,0.454682094,0.58991028
0.085790885,0.016568952,0.022140863,0.59020199,0.543628344,0.660497157
